date,living_bangkok,food_bangkok,house_bangkok,walk_bangkok,living_nakhon,food_nakhon,house_nakhon,walk_nakhon,living_songkla,food_songkla,house_songkla,walk_songkla
2002,21919,29,23.5,19.9,11368,38.7,17.6,17.8,11601,40.3,21.1,15
2003,22451,28.8,23.3,21.4,12091,36.8,17.8,18.8,13169,38.7,18.4,20.4
2004,22982,28.7,23,22.8,12815,35.2,17.9,19.7,14738,37.4,16.3,24.7
2010,29647,31.4,24.6,20.8,19225,33.7,15.9,23.7,19488,34.8,16.1,23.4
2011,31802,29.7,25.2,21.7,20663,31.9,20.2,23.5,20436,34.6,16,23.6
2012,33957,28.3,25.8,22.4,22102,30.4,23.9,23.3,21383,34.4,15.8,23.9
2013,34192,28.9,26,22.1,21382,33.1,20,22.3,21564,33,16.8,22.9
2014,34426,29.5,26.3,21.7,20661,36.1,15.8,21.1,21744,31.6,17.8,22
2015,34764,31,25,20.9,20837,35.9,16.6,20.7,22605,32.2,18.4,21.1
2016,35101,32.4,23.7,20,21012,35.7,17.3,20.3,23466,32.8,19,20.2
2017,34614,31.9,23.3,20.6,21074,35.4,17.3,21.3,22297,33.6,18.8,20.9
2018,34127,31.4,22.8,21.2,21135,35.2,17.3,22.3,21128,34.5,18.6,22.7
2019,33089,31.8,23.5,21,20038,36,18.2,21.4,19632,34.9,20.2,21.2
2020,32052,32.2,24.2,20.8,18941,36.9,19.2,20.5,18136,35.4,22.1,19.5
2021,30011,32.8,24.3,20.3,20241,36.7,18.2,21.4,19139,35.9,20.9,19.7
2022,27970,33.6,24.4,19.7,21541,36.5,17.2,22.1,20142,36.3,19.7,19.9